,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*,IT2,U*,1*,2*,X*
16,Wolfsburg (Amateur),Hertha (Amateur),2.216,5.61,2.216,1.59,1.105,1.59,1.865,6,1.936,1.9,0,1.9,2.17,3,1.69,2.17,3,1.69
17,Brazil (3x3),Holland (3x3),2.035,10,2.035,1.696,1.016,1.696,1.845,26,1.896,1.87,0,1.87,1.89,13,1.85,1.89,13,1.85
18,Fortuna (Amateur),Harlem (Amateur),4.11,6.86,1.44,2.57,1.07,1.19,1.775,7,2.045,1.984,+1.5-,1.82,2.12,2.5,1.72,2.12,4.5,1.72
19,Shakery,Kambrijcy,4.64,8.12,1.344,2.95,1.045,1.155,1.888,10,1.912,1.815,+2-,1.995,2.035,4,1.78,2.035,6,1.78
20,DES,ENGIN,2.96,4.78,1.875,1.825,1.145,1.344,1.73,4,2.105,2.456,0,1.55,1.99,2,1.82,1.99,2.5,1.82
21,Belarus (3х3),Russia (3x3),2.955,7.05,1.664,2.085,1.064,1.344,1.815,19.5,1.93,1.816,+1-,1.93,1.715,9.5,2.06,1.715,10,2.06
22,Belgium (TSL),Portugal (TSL),2.045,8.91,2.045,1.705,1.01,1.705,1.975,24,1.83,1.9,0,1.9,1.992,12,1.815,1.992,12,1.815
23,Argentina (TSL) Women,Germany (TSL) Women,1.864,8.48,2.34,1.54,1.025,1.86,1.975,17.5,1.83,2.12,-1+,1.72,2.005,9,1.808,2.005,8.5,1.808
0,Brisbane Roar,Sydney,3.58,2.69,2.55,1.555,1.51,1.325,1.95,3.5,1.89,2.264,0,1.664,1.57,1.5,2.41,1.57,1.5,2.41
1,Shanghai Shenhua,Dalian Pro,1.525,4.1,7,1.125,1.264,2.625,2.005,3,1.84,1.9,-1+,1.94,2.06,2,1.76,2.06,1,1.76
2,JEF United Ichihara Chiba (Women),Ehime (Women),2.94,1.61,9.22,1.045,2.24,1.375,2.17,0.5,1.69,1.24,0,4.06,6.91,0.5,1.09,6.91,0.5,1.09
3,Jeju United,Chungnam Asan,1.54,3.76,6.52,1.096,1.25,2.392,2.08,2.5,1.75,1.95,-1+,1.85,1.83,1.5,1.94,1.83,0.5,1.94
4,Seoul Cityhall Amazones (Women),Gyeongju (Women),12.3,1.81,2.29,1.585,1.94,1.016,1.72,2.5,2.12,5.37,0,1.15,1.93,1.5,1.84,1.93,1.5,1.84
5,Suwon Fasilitis (Women),Hwacheon KSPO (Women),12.7,3.5,1.42,2.752,1.28,1.016,1.88,1.5,1.92,1.1,+1.5-,6.27,4.56,0.5,1.18,4.56,1.5,1.18
6,Daejeon Sportstoto (Women),Busan Sangmu (Women),1.15,5.69,37,-,1.125,4.96,2.11,1.5,1.73,3.73,-1.5+,1.27,3.91,1.5,1.24,3.91,0.5,1.24
7,Hanshin Tigers,Yokohama DeNA BayStars,5.08,-,1.18,-,-,-,1.92,7.5,1.92,1.94,+2-,1.9,1.84,2.5,1.92,1.84,4.5,1.92
8,Chunichi Dragons,Hiroshima Toyo Carp,9.07,-,1.07,-,-,-,1.96,7,1.88,1.78,+3.5-,2.08,1.96,1.5,1.81,1.96,5,1.81
9,Tally Valley Black,Robina City II,-,-,-,-,-,-,2.205,8,1.67,1.71,-7.5+,2.13,9.44,7.5,1.04,9.44,0.5,1.04
10,Kataller Toyama,Sagamihara,1.05,12.7,26,-,1.016,8.61,2.08,3.5,1.75,2.31,-2.5+,1.61,2.06,2.5,1.73,2.06,0.5,1.73
11,Tokyo+,Shanghai+,2.264,4.14,2.512,-,-,-,2.06,3.5,1.76,3.98,-1.5+,1.165,1.68,1.5,2.19,1.68,1.5,2.19
12,Italy (3х3),Portugal (3х3),2.096,7.85,2.096,1.656,1.05,1.656,1.99,12,1.816,1.9,0,1.9,2.03,6,1.784,2.03,6,1.784
13,Bears (blue),Falcons (white),2.08,7.31,2.08,1.67,1.08,1.67,1.91,106.5,1.85,1.41,+1.5-,2.72,2.01,53.5,1.77,2.01,53.5,1.77
