,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
18,MHC Atlant,Loko Yaroslavl,6.00,1.82,2.85,1.40,1.92,1.11,+1.5,1.11,-1.5,6.00,2.5,1.63,2.20,+80
19,Metallurg Nk,Lada,4.20,5.30,1.55,2.35,1.14,1.20,+1.5,1.65,-1.5,2.18,6.5,2.17,1.65,+116
20,Ledovyy Desant,Ershistye Tigry,2.40,4.40,2.35,1.55,1.19,1.55,+1.5,1.25,-1.5,3.70,6.5,1.75,2.00,+59
21,Hc Slavia Praha U20,Sparta Praha U20,4.20,4.50,1.60,2.20,1.16,1.19,+1.5,1.55,-1.5,2.25,3.5,1.80,1.90,+108
22,Shabalin (NBF) Chicago Bl.,Zolin (PGM) N-Y Rangers,48.00,9.50,1.05,7.80,1.02,,+2.5,1.40,-2.5,2.80,5.5,2.90,1.35,+41
23,Vegas Golden Knights (Magistr),Toronto Maple Leafs (mrPanda),,,,,,,+2.5,3.65,-2.5,1.25,7.5,1.90,1.80,+8
24,Liaoning Flying Leopards,Guangdong Southern Tigers,3.15,,1.31,,,,+7.5,1.80,-7.5,1.90,221.5,1.80,1.90,+18
25,Zenit (BLM_Mamba),Fenerbahce (JoKeR),2.46,,1.48,,,,+2.5,1.87,-2.5,1.83,83.5,1.92,1.78,+6
26,Hyundai Group,Tianchen Inginnering,1.16,,4.50,,,,-11.5,1.85,+11.5,1.85,147.5,1.87,1.83,+8
27,Chaophraya Thunder,Mad Goat,7.30,,1.06,,,,+14.5,1.80,-14.5,1.90,132.5,1.80,1.90,+6
28,Houston Rockets (88fireburn),Golden State Warriors (bepado),,,,,,,-29.5,1.83,+29.5,1.87,127.5,1.85,1.85,+6
29,Portland Trail Blazers (Shiva),Dallas Mavericks (Goku),1.58,,2.23,,,,-2.5,1.92,+2.5,1.78,133.5,1.87,1.83,+6
30,Boston Celtics (Sally),Milwaukee Bucks (Readdle),,,,,,,+15,1.80,-15,1.90,162,1.76,1.94,+2
31,Philadelphia 76ers (Ellka),Houston Rockets (Reta),1.72,,2.00,,,,-1.5,1.87,+1.5,1.83,197.5,1.85,1.85,+2
32,Universitet Izhevsk (w),UFA Alisa (w),,,,,,,,,,,31.5,2.03,1.70,
33,HC Zubri,Talent Plzen,,,1.04,8.50,,,+8.5,1.83,-8.5,1.87,57.5,1.90,1.80,+10
34,Gazprom-Ygra,Sinara,4.15,3.55,1.80,1.90,1.25,1.19,0,2.90,0,1.36,3.5,1.93,1.77,+21
35,Pervomay (w),Gorchitsa (w),2.25,,1.55,,,,+5.5,1.68,-5.5,2.05,94.5,1.80,1.90,+8
36,SGSPU-EKOVOZ (w),Zvezda Saint Petersburg (w,,,,,,,+5.5,1.65,-5.5,2.10,5.5,1.65,2.10,+4
37,VVA Podmoskovye,Bulava,,,,,,,-27.5,1.83,+27.5,1.87,53.5,1.83,1.87,+12
38,Sydney Swans,Western Sydney,,,,,,,-46.5,1.55,+46.5,2.30,,,,
39,Uni-7-Eleven Lions,Brothers Elephants,2.30,,1.55,,,,+1.5,1.65,-1.5,2.10,11.5,2.05,1.68,+22
40,Chiba Lotte Marines,Nippon Ham Fighters,,,,,,,0,1.15,0,4.70,12.5,1.68,2.05,+16
41,Seibu Lions,Rakuten Gold. Eagles,,,,,,,+2.5,3.15,-2.5,1.30,11.5,1.73,2.00,+6
42,Yomiuri Giants,Yakult Swallows,,,,,,,0,1.30,0,3.15,,,,
43,Kiwoom Heroes,Hanwha Eagles,,,,,,,0,1.05,0,8.00,7.5,1.83,1.87,+6
44,KT Wiz,Wyverns,,,,,,,0,7.00,0,1.07,17.5,1.67,2.08,+17
45,LG Twins,KIA Tigers,,,,,,,,,,,,,,
46,Lotte Giants,NK Dinos,,,,,,,+7.5,1.25,-7.5,3.55,11.5,1.87,1.83,+2
47,Samsung Lions,Doosan Bears,,,,,,,0,1.13,0,5.00,5.5,1.75,1.95,+8
48,Rooster,AVANT,,,,,,,,,,,,,,
49,SKADE,Copenhagen Flames,,,,,,,,,,,,,,
50,Wisla Krakow,BIG Academy,,,,,,,,,,,,,,
51,Endpoint,Heroic,7.00,,1.07,,,,,,,,,,,+3
52,Tempo,Omegalil,,,,,,,,,,,,,,
53,Victory Five,FunPlus Phoenix,,,,,,,,,,,,,,
0,Sagitov (TES) Arsenal,Zaporozhets (VEG) Bayern M,2.50,4.40,2.20,1.60,1.17,1.47,+1.5,1.25,-1.5,3.50,3.5,2.10,1.65,+94
1,Tottenham (orlovsky1),Arsenal L (d1pseN),,,,,,,,,,,,,,
2,Atletico M (Mr.Jab),Real M (vrico),1.40,3.75,9.50,1.02,1.23,2.75,-1.5,3.10,+1.5,1.32,2.5,2.45,1.48,+48
3,Sevilla (LaikingDast),Barcelona (Kodak),2.90,2.12,3.75,1.23,1.65,1.35,-1.5,8.00,+1.5,1.05,1.5,2.50,1.45,+69
4,Sevilla (Totti),Getafe (Nrek),,,,,,,,,,,,,,
5,Betis (Tigo),Celta (Paulo),1.40,5.70,5.20,1.13,1.10,2.75,-1.5,1.90,+1.5,1.80,4.5,1.90,1.80,+9
6,Tottenham  (Spursmax),Man. United (Skmgery),9.00,4.70,1.32,3.10,1.15,1.03,+1.5,1.60,-1.5,2.20,4.5,1.52,2.35,+7
7,EVERTON FC (CARLWHIZZER),West Ham (Quavo),1.30,4.50,10.50,1.01,1.16,3.20,-1.5,2.18,+1.5,1.61,4.5,1.85,1.85,+54
8,Man.City (Den1Bravo),Arsenal (Olom),1.58,3.75,5.50,1.11,1.23,2.25,-1.5,3.00,+1.5,1.35,2.5,1.70,2.02,+21
9,Kalinin Front,Belye Ldiny,9.00,3.85,1.45,2.65,1.25,1.05,+1.5,1.37,-1.5,2.95,8.5,2.10,1.70,+14
10,Russia (nazar4ik99),Finland (Joker),3.30,3.65,2.00,1.72,1.25,1.30,+1.5,1.30,-1.5,3.20,3.5,2.17,1.62,+99
11,Italy (JET),Austria (Mistyeye),6.30,3.75,1.53,2.35,1.23,1.08,+1.5,1.48,-1.5,2.45,4.5,1.98,1.72,+77
12,Belarus (Magistr),Poland (ScRate),1.60,4.70,4.10,1.19,1.15,2.20,-1.5,2.45,+1.5,1.48,6.5,1.55,2.30,+84
13,CSKA Moscow (Ash),Real Madrid (ZOD),,,,,,,-9.5,1.83,+9.5,1.87,103.5,1.85,1.85,+6
14,Charlotte Hornets (Goku),New York Knicks (Siegfried),,,,,,,+5.5,1.83,-5.5,1.87,140.5,1.90,1.80,+2
15,Washington Wizards (Shiva),Detroit Pistons (SLAMDUNKVV),3.25,,1.29,,,,+6.5,1.80,-6.5,1.90,106.5,1.80,1.90,+6
16,Golden State Warriors (Ellka),Toronto Raptors (Sally),,,,,,,-19.5,1.90,+19.5,1.80,197.5,1.85,1.85,+6
17,Portland Trail Blazers (Readdle),Denver Nugget (Reta),1.08,,6.50,,,,,,,,,,,
18,Boston Celtics (aLikan_),Houston Rockets (amuralex),1.01,,11.00,,,,-15.5,1.78,+15.5,1.92,108.5,1.87,1.83,+6
19,Mechta (w),Burevestnik (w),1.78,,1.92,,,,-0.5,1.82,+0.5,1.88,82.5,1.85,1.85,+28
20,France (Ballvanni),Ireland (JohnnySize),,,,,,,+26.5,1.85,-26.5,1.85,59.5,1.90,1.80,+20
21,Rakuten Monkeys-2,Fubon Guardians 2,,,,,,,0,7.40,0,1.06,11.5,2.00,1.72,+22
22,Fukuoka SoftBank Hawks,Orix Buffaloes,,,,,,,0,1.57,0,2.25,4.5,1.55,2.30,+20
0,Ман.С.-Лион. De Bruyne K,Depay M,4.00,1.40,8.00,1.05,2.75,1.20,0,1.43,0,2.62,0.5,2.40,1.50,+4
1,Ман.С.-Лион. Sterling R,Jesus G,3.35,2.10,3.35,1.28,1.65,1.28,0,1.85,0,1.85,0.5,1.42,2.65,+4
2,Manchester City,Lyon,1.90,3.60,4.05,1.25,1.30,1.90,-1.5,3.40,+1.5,1.32,3.5,2.05,1.77,+235
3,Odra Opole,Lech Poznan,17.00,8.00,1.11,5.50,1.05,,+1.5,2.35,-1.5,1.52,2.5,1.50,2.45,+118
4,Osijek,Slaven Belupo,4.50,1.95,3.05,1.35,1.80,1.18,+1.5,1.06,-1.5,9.00,0.5,1.55,2.35,+74
5,Podgorica FC,Titograd,3.00,1.60,8.50,1.04,2.20,1.35,0,1.28,0,3.35,0.5,1.98,1.72,+23
6,Sutjeska,OFK Petrovac,1.04,,,,,9.00,-1.5,1.90,+1.5,1.80,5.5,1.53,2.35,+7
7,Zeta,Iskra Danilovgrad,5.70,1.50,4.10,1.19,2.40,1.10,0,2.17,0,1.62,0.5,2.15,1.63,+80
8,Re United,Viimsi Lovid,,,,,,,,,,,,,,
9,Zamalek SC,Misr El Makasa,2.55,1.97,6.10,1.11,1.77,1.48,-1.5,7.70,+1.5,1.07,0.5,1.57,2.30,+111
10,MAT Tetouan,HUSA Agadir,3.10,2.35,3.00,1.35,1.53,1.32,+1.5,1.06,-1.5,7.60,1.5,2.30,1.55,+162
11,Olimpique De Safi,CAYB Berrechid,2.03,2.60,5.00,1.13,1.45,1.70,-1.5,5.00,+1.5,1.14,1.5,2.03,1.70,+164
12,Al Nasr Riyadhh,Al Wahda,1.05,9.50,67.00,,1.02,7.80,-1.5,2.35,+1.5,1.53,1.5,1.87,1.83,+12
13,Tombense,Sao Jose PA,2.50,2.45,3.90,1.23,1.52,1.50,-1.5,7.20,+1.5,1.08,1.5,2.20,1.63,+160
14,Palmeira de Goianinha,Santa Cruz de Natal,1.60,3.20,6.80,1.07,1.30,2.20,-1.5,3.40,+1.5,1.27,1.5,2.10,1.65,+130
15,Treze,Campinense,1.95,2.80,4.70,1.15,1.38,1.75,-1.5,3.90,+1.5,1.20,1.5,1.72,2.00,+168
16,HFX Wanderers,Pacific,1.60,3.40,6.40,1.08,1.27,2.20,-1.5,3.10,+1.5,1.32,2.5,1.60,2.20,+148
17,River Plate,Nacional Football,4.60,2.20,2.50,1.50,1.63,1.18,+1.5,1.10,-1.5,6.40,5.5,2.55,1.50,+103
18,Belyye Rozy,Ryzhiye Lisy,1.40,4.30,7.50,1.06,1.18,2.75,-1.5,2.35,+1.5,1.52,7.5,2.25,1.57,+16
19,Athlone Town (w),Wexford Yts (w),,,1.85,1.85,,,0,4.10,0,1.20,1.5,2.65,1.42,+7
20,Kostin (NFC) Chelsea,Zaporozhets (VEG) Bayern M,1.30,4.30,12.50,,1.18,3.20,-1.5,2.20,+1.5,1.60,2.5,1.73,2.00,+69
21,Man. City (vrico),Man.United (Skromnuy),3.50,2.40,2.65,1.42,1.50,1.25,+1.5,1.07,-1.5,7.00,1.5,2.20,1.58,+66
22,Liverpool (Bombit1t0),Tottenham (Arcos),4.60,1.87,3.00,1.35,1.83,1.16,0,2.30,0,1.55,0.5,1.53,2.35,+54
23,Udinese (Walker),Fiorentina (Specialist),1.11,,,,,5.60,-2.5,2.50,+2.5,1.47,3.5,1.65,2.10,
24,Parma (Aventon),SASSUOLO (OOLANCER),35.00,9.50,1.06,7.30,1.02,,+2.5,1.55,-2.5,2.25,5.5,1.62,2.15,+43
25,Juventus (Bobby),ATALANTA (INDRA13_27),,,,,,,+3.5,2.13,-3.5,1.64,4.5,1.80,1.90,+7
26,Arizona Coyotes,Colorado Avalanche,2.40,3.70,2.65,1.45,1.25,1.55,-1.5,3.70,+1.5,1.25,5.5,1.95,1.80,+168
27,Moscow Eshelon,Ace Banda,2.75,3.95,2.20,1.63,1.23,1.42,+1.5,1.25,-1.5,3.80,7.5,2.10,1.70,+54
28,Dzhersi 53,Legenda Moscow,2.25,5.10,2.25,1.57,1.13,1.57,-1.5,2.90,+1.5,1.35,7.5,2.07,1.67,+114
29,Basel U20,Rappersvil U20,1.35,4.80,7.30,1.06,1.15,2.95,-1.5,1.77,+1.5,1.93,8.5,1.80,1.90,+71
30,Portland Trail Blazers,Memphis Grizzlies,1.36,,3.15,,,,-5.5,1.90,+5.5,1.90,230.5,1.87,1.93,+24
31,Indiana (w),Los-Angeles (w),,,,,,,+19.5,1.87,-19.5,1.83,166.5,1.90,1.80,+26
32,Milan (Fosters23),Barcelona (jema11),,,,,,,-8.5,1.85,+8.5,1.85,98.5,1.85,1.85,+2
33,RK Vardar,RK Butel,1.07,15.00,13.00,1.02,1.01,7.00,-8.5,1.80,+8.5,1.90,46.5,1.77,1.93,+10
34,Huddersfield Giants,Warrington Wolves,7.10,5.90,1.25,,,,+6.5,1.43,-6.5,2.60,36.5,1.85,1.85,+4
35,O’Sullivan R,Wilson  Kyren,1.04,,10.00,,,,-7.5,1.75,+7.5,1.95,28.5,1.95,1.75,+36
36,Chicago Cubs,Mil Brewers,1.70,,2.02,,,,+1.5,1.50,-1.5,2.45,8.5,1.85,1.85,+19
37,Movistar Riders,Galaxy Racer Esports,,,,,,,,,,,,,,
38,RBG,New England Whalers,1.63,,2.14,,,,,,,,,,,
39,Rebirth,YEAH GAMING,2.30,,1.54,,,,,,,,,,,
40,OG,Heroic,3.75,,1.23,,,,,,,,,,,
41,Nigma,Alliance,,,,,,,,,,,,,,
42,SpaceStation Gaming,Team SoloMid,,,,,,,,,,,,,,
43,1 map. SpaceStation Gaming,Team SoloMid,2.20,,1.60,,,,+1.5,1.85,-1.5,1.85,11.5,2.12,1.64,+18
0,Almeria,Girona,,,,,,,,,,,3.5,5.30,1.16,
1,Baltika,Shinnik,,,,,,,-2.5,7.60,+2.5,1.09,2.5,5.40,1.15,+6
2,CSKA Sofia,Botev Plovdiv,6.00,1.17,21.00,,4.70,1.11,,,,,2.5,4.90,1.16,+2
3,Radnik Bijeljina,Siroki Brijeg,,,,,,,,,,,2.5,11.00,1.03,
4,Siofok,Debreceni EAC,,,,,,,,,,,,,,
5,Csakvari,Ajka FC,,,,,,,,,,,,,,
6,Gyori ETO FC,Soroksar,,,1.05,7.80,,,+1.5,1.05,-1.5,8.50,1.5,4.80,1.14,+6
7,Szombathelyi Haladas,Szeged,,,,,,,,,,,,,,
8,Kazincbarcikai,Pecsi MFC,7.60,4.20,1.40,2.75,1.19,1.05,+1.5,1.40,-1.5,2.75,2.5,1.85,1.85,+115
9,Merani Tbilisi,Dynamo Batumi,,,,,,,,,,,3.5,7.50,1.06,
10,Silkeborg U19,Aalborg U19,6.30,3.35,1.60,2.20,1.28,1.08,+1.5,1.19,-1.5,4.15,4.5,2.45,1.48,+79
11,Hap.Ironi Kiryat Shmona,Bnei Sakhnin,1.28,4.50,15.00,,1.18,3.50,-1.5,2.65,+1.5,1.45,2.5,2.25,1.60,+103
12,Maccabi Haifa,Hapoel Haifa,1.09,7.90,39.00,,1.06,6.70,-1.5,2.65,+1.5,1.45,1.5,1.90,1.85,+76
13,Kopavogur,Fjolnir,,,,,,,,,,,4.5,6.40,1.10,
14,Rigas Futbola Skola,BFK Daugavpils,,,,,,,,,,,2.5,6.70,1.09,
15,Rosenborg,Aalesund,2.07,3.65,3.25,1.32,1.25,1.70,-1.5,3.45,+1.5,1.30,3.5,1.62,2.20,+203
16,Lodz,Slask Wroclaw,1.70,3.60,4.60,1.16,1.25,2.02,-1.5,3.15,+1.5,1.30,3.5,2.30,1.55,+179
17,Metalac GM,Proleter Novi Sad,8.50,3.25,1.55,2.35,1.32,1.05,+1.5,1.23,-1.5,4.00,2.5,2.70,1.45,+121
18,Rad,Vozdovac Beograd,2.00,3.20,3.85,1.25,1.33,1.75,-1.5,5.40,+1.5,1.14,2.5,2.05,1.75,+109
19,Vojvodina,Mladost Lucani,2.05,2.50,5.50,1.13,1.50,1.73,-1.5,5.20,+1.5,1.14,1.5,2.55,1.50,+152
20,Dynamo Zagreb,NK Lokomotiva Zagreb,,,,,,,-3.5,2.35,+3.5,1.53,3.5,1.67,2.08,+114
21,Osijek-2,Orijent Rijeka,5.90,1.23,10.00,1.02,3.75,1.10,,,,,0.5,3.70,1.23,+8
22,Pyramids,Talaea El Geish,10.00,5.40,1.28,3.50,1.13,1.03,+1.5,1.70,-1.5,2.10,3.5,1.97,1.77,+123
23,Al Jazeera,AL Sareeh,47.00,15.00,1.04,9.50,,,+2.5,1.73,-2.5,2.05,4.5,2.50,1.50,+71
24,Club Africain,Tataouine,3.70,2.95,2.12,1.65,1.35,1.23,+1.5,1.06,-1.5,7.50,2.5,2.20,1.60,+102
25,U.S. Monastir,Etoile Metlaoui,2.05,2.65,4.60,1.16,1.42,1.68,-1.5,4.60,+1.5,1.16,1.5,2.08,1.65,+164
26,Real DF,Capital DF,2.15,3.30,3.20,1.30,1.30,1.62,-1.5,4.40,+1.5,1.17,1.5,1.57,2.25,+182
27,Globo,Forka e Luz,1.04,12.00,76.00,,,8.50,-2.5,1.85,+2.5,1.85,3.5,1.60,2.20,+101
28,Toluca,UANL-Tigres,5.70,1.35,6.40,1.10,3.05,1.12,0,1.78,0,1.98,4.5,2.85,1.40,+4
29,Chinandega U20,Okotal U20,,,,,,,+5.5,1.73,-5.5,2.00,6.5,1.58,2.25,+37
30,Cerro Largo,Atletico Rentistas,2.75,2.50,3.15,1.30,1.47,1.40,-1.5,7.10,+1.5,1.06,3.5,2.20,1.60,+96
31,Promex Harlem SC,LA Enterprises Bombers FC,5.10,4.20,1.55,2.30,1.19,1.13,+1.5,1.35,-1.5,2.90,5.5,2.40,1.50,+85
32,Kolubara (w),Masinac Nis (w),,,,,,,+3.5,1.25,-3.5,3.65,3.5,3.05,1.33,+2
33,Hammarby U19 (w),Segeltorps U19 (w),1.05,12.00,32.00,,,7.80,-2.5,1.70,+2.5,2.02,4.5,1.85,1.85,+49
34,Pavlenko (iNA) PSV,Zhukov (RUB) Liverpool,4.80,4.60,1.52,2.35,1.16,1.15,+1.5,1.60,-1.5,2.20,3.5,1.70,2.02,+121
35,Sassuolo (Carlwhizzer),Sampdoria (Specialist),1.33,4.20,11.00,1.01,1.19,3.05,-1.5,2.55,+1.5,1.45,2.5,2.10,1.65,+50
36,Napoli (Den1Bravo),Juventus (Miller),1.38,4.50,7.50,1.06,1.16,2.80,-1.5,2.65,+1.5,1.43,2.5,1.65,2.10,
37,Fiorentina (Mistyeye),Parma Calcio 1913 (Walker),7.60,4.50,1.38,2.80,1.16,1.05,+1.5,1.42,-1.5,2.65,2.5,1.75,1.95,+7
38,NY Islanders,Was Capitals,,,,,,,,,,,,,,
39,Cal Flames,Dal Stars,5.00,4.30,1.58,2.30,1.20,1.15,+1.5,1.57,-1.5,2.35,4.5,1.98,1.78,+157
40,SKR Saint Petersburg,Verdikt Saint Petersburg,1.97,4.15,3.00,1.35,1.19,1.73,-1.5,2.80,+1.5,1.38,5.5,1.65,2.10,+93
41,Magistral Moscow,Ledyanyye Volki Moscow,5.30,3.40,1.67,2.07,1.27,1.12,+1.5,1.40,-1.5,2.70,2.5,1.55,2.30,+70
42,Lightning,Legenda-Meteor,2.35,4.30,2.40,1.50,1.18,1.53,-1.5,3.80,+1.5,1.22,6.5,2.20,1.60,+49
43,Vegas Golden Nights (Ryba Rybas),Washington Capitals (Dmitry_gavr13),6.90,4.40,1.40,2.75,1.17,1.07,+1.5,1.55,-1.5,2.30,2.5,1.50,2.40,+71
44,Buffalo Sabres (Shket),Florida Panthers (Zazabak),1.78,4.40,3.45,1.25,1.17,1.92,-1.5,2.50,+1.5,1.45,5.5,2.13,1.64,+96
45,Phoenix (w),Dallas (w),2.46,,1.48,,,,+2.5,1.72,-2.5,2.00,176.5,1.90,1.80,+4
46,Gezeret Al Ward (w),Olimby (w),2.60,,1.43,,,,+3.5,1.78,-3.5,1.92,119.5,1.87,1.83,+8
47,Portland Trail Blazers (Answer2208),Dallas Mavericks (broccolicabbage0),,,,,,,,,,,,,,
48,Wigan Warriors,Leeds Rhinos,1.01,20.00,15.00,,,,-12.5,1.83,+12.5,1.87,33.5,1.76,1.94,+18
49,O’Sullivan R,Wilson  Kyren,,,,,,,,,,,,,,+18
50,Bal Orioles,Was Nationals,9.50,,1.04,,,,+4.5,1.80,-4.5,1.90,10.5,2.00,1.72,+17
51,Phi Phillies,NY Mets,2.20,,1.60,,,,+1.5,1.50,-1.5,2.40,6.5,1.67,2.08,+20
52,Det Tigers,Cle Indians,2.70,,1.40,,,,+1.5,1.73,-1.5,2.00,11.5,2.00,1.72,+23
53,Miami Marlins,Atl Braves,2.60,,1.43,,,,+1.5,1.68,-1.5,2.05,4.5,1.95,1.75,+18
54,Chicago White Sox,SL Cardinals,1.37,,2.85,,,,-1.5,1.90,+1.5,1.80,8.5,1.95,1.75,+20
55,Hou Astros,Sea Mariners,1.45,,2.60,,,,-1.5,2.07,+1.5,1.68,7.5,2.03,1.70,+19
56,Min Twins,KC Royals,2.25,,1.58,,,,+1.5,1.68,-1.5,2.05,8.5,1.85,1.85,+20
57,Chicago Cubs,Mil Brewers,1.11,,5.40,,,,-3.5,1.83,+3.5,1.87,10.5,1.95,1.75,+23
58,AVEZ,ESPADA,,,,,,,,,,,,,,
59,FURIA Esports,Team Liquid,2.55,,1.46,,,,,,,,,,,
60,BeastCoast,Thunder Predator,,,,,,,,,,,,,,
61,Virtus.Pro,Natus Vincere,,,,,,,,,,,,,,
62,DarkZero Esports,Team SoloMid,,,,,,,,,,,,,,
63,3rd map. DarkZero Esports,Team SoloMid,1.07,,6.90,,,,,,,,9.5,1.70,2.02,+4
0,Wuhan Zall,Chongqing Lifan,1.45,3.55,10.00,1.03,1.27,2.65,-1.5,3.55,+1.5,1.28,2.5,2.60,1.47,+158
1,Daejeon Citizen,Seoul E-Land,3.00,2.35,3.10,1.32,1.53,1.35,-1.5,8.00,+1.5,1.05,1.5,2.50,1.48,+132
2,Khaan Khuns Erchim,Anduud City,1.04,14.00,38.00,,,8.50,-3.5,1.80,+3.5,1.90,4.5,1.75,1.95,+38
3,Blue Star,Country Lions,2.50,2.55,3.45,1.25,1.45,1.47,-1.5,5.60,+1.5,1.11,3.5,2.00,1.72,+96
4,Zheltie Tulpany,Krasnie Maki,1.48,5.10,4.70,1.15,1.13,2.47,-1.5,2.03,+1.5,1.70,6.5,2.15,1.62,+30
5,Kostin (NFC) Chelsea,Amoyan (EZ1) Atletico M,,,,,,,,,,,,,,
6,Dynamo K (LaikingDast),CSKA M (DangerDim77),1.28,,,,,3.30,-1.5,2.55,+1.5,1.45,2.5,2.70,1.40,+19
7,Shakhtar D (Hrusch),Lokomotiv M (d1pseN),3.40,1.80,4.30,1.18,1.90,1.27,0,1.67,0,2.08,0.5,1.50,2.40,+54
8,AS ROMA (DIMQAA),Porto (Specialist),2.35,3.70,2.60,1.45,1.23,1.53,0,1.78,0,1.92,2.5,1.65,2.10,
9,BORUSSIA MONCHENGLADBACH (CARLWHIZZER),WOLVERHAMPTON WANDERERS (QUAVO),1.40,4.80,6.20,1.09,1.15,2.75,-1.5,2.05,+1.5,1.68,4.5,2.00,1.72,+82
10,Zvezda Moskva,HK Ryazan,1.17,9.00,10.00,1.03,1.05,4.70,-2.5,1.85,+2.5,1.90,5.5,1.90,1.85,+100
11,Spartak Moscow,Avangard,9.00,4.10,1.40,2.85,1.22,1.05,+1.5,1.75,-1.5,2.00,3.5,2.30,1.58,+127
12,SKA-Neva,Yugra,3.85,3.45,1.93,1.82,1.30,1.25,+1.5,1.35,-1.5,3.10,4.5,2.05,1.75,+166
13,Metallurg Nk,Buran Voronezh,1.42,5.10,5.50,1.11,1.13,2.65,-1.5,1.80,+1.5,1.90,7.5,2.05,1.68,+109
14,Ledovyy Desant,Stalker,4.30,4.60,1.60,2.25,1.18,1.20,+1.5,1.62,-1.5,2.25,7.5,1.93,1.83,+57
15,Mitrakov (D1S) Colorado,Zavgorodny (SPB) Pittsburg,1.45,4.90,5.20,1.13,1.14,2.55,-1.5,1.90,+1.5,1.80,4.5,1.58,2.20,+98
16,Columbus (Yarik_SH),Washington (IanJoe),1.67,4.30,4.05,1.20,1.18,2.07,-1.5,2.40,+1.5,1.50,4.5,2.25,1.58,+110
17,Boston Bruins (Joker),Toronto (nazar4ik99),1.57,4.90,4.15,1.19,1.14,2.25,-1.5,2.02,+1.5,1.70,5.5,1.70,2.02,+108
18,Anadolu Efes (Ash),CSKA Moscow (JoKeR),4.90,,1.14,,,,+4.5,1.85,-4.5,1.85,126.5,1.83,1.87,
19,TSU-Hyundai Tbilisi (d),Mgzavredi Tbilisi (d),2.40,,1.50,,,,+4.5,1.83,-4.5,1.87,144.5,1.80,1.90,+8
20,Lincoln Un First Team,Tongren C3 Bar Team,2.30,,1.55,,,,+3.5,1.80,-3.5,1.90,113.5,1.85,1.85,+8
21,Minnesota Timberwolves (BoBBY),Sacramento Kings (SLAMDUNKVV),,,,,,,+6.5,1.78,-6.5,1.92,110.5,1.90,1.80,+6
22,Miami Heat (Potter),Portland Trail Blazers (Jasmine),,,,,,,,,,,,,,
23,FTK Tbilisi,Iliauni,3.15,4.00,1.95,1.75,1.20,1.31,0,2.35,0,1.52,5.5,1.95,1.75,+25
24,Orange (w),Tsitron (w),1.95,,1.75,,,,+0.5,1.88,-0.5,1.82,92.5,1.85,1.85,+4
25,Australia (Kisha),Japan (JTD),1.45,20.00,2.55,,,,-2.5,2.15,+2.5,1.62,29.5,1.76,1.94,+12
26,Richmond,Gold Cost,,,,,,,-14.5,1.85,+14.5,1.85,89.5,1.85,1.85,
27,CR4ZY,HellRaisers,,,,,,,,,,,,,,
28,K23,SJ,1.04,,8.50,,,,,,,,,,,
29,Neon Esports,For The Dream,,,,,,,,,,,,,,
0,Wuhan Zall,Chongqing Lifan,1.43,3.55,11.50,1.02,1.27,2.70,-1.5,3.70,+1.5,1.25,1.5,1.42,2.75,+139
1,Daejeon Citizen,Seoul E-Land,3.10,2.25,3.20,1.30,1.57,1.32,-1.5,9.00,+1.5,1.05,0.5,1.38,2.80,+125
2,Khaan Khuns Erchim,Anduud City,1.02,17.00,63.00,,,10.00,-3.5,1.60,+3.5,2.20,4.5,1.75,1.95,+31
3,Blue Star,Country Lions,2.60,2.40,3.60,1.25,1.50,1.45,-1.5,6.20,+1.5,1.09,3.5,2.25,1.58,+93
4,Zheltie Tulpany,Krasnie Maki,1.47,4.90,5.10,1.13,1.14,2.50,-1.5,2.07,+1.5,1.67,7.5,1.88,1.82,+24
5,Skuratov (SFC) Barcelona,Benev (WCU) Borussia D,2.00,4.00,3.00,1.35,1.20,1.72,-1.5,3.10,+1.5,1.32,3.5,1.85,1.85,+125
6,Tottenham (mooneycb),Arsenal L (Pablik),1.40,4.15,7.60,1.05,1.19,2.75,-1.5,2.95,+1.5,1.35,2.5,1.70,2.02,
7,Liverpool (orlovsky1),Man.United (dm1trena),3.25,2.55,2.65,1.42,1.45,1.30,+1.5,1.12,-1.5,5.30,1.5,1.65,2.10,+76
8,Dynamo K (LaikingDast),CSKA M (DangerDim77),,,,,,,,,,,,,,
9,Shakhtar D (Hrusch),Lokomotiv M (d1pseN),,,,,,,,,,,,,,
10,Spartak M (Kodak),Dynamo K (LaikingDast),6.20,2.85,1.75,1.95,1.37,1.09,+1.5,1.30,-1.5,3.20,2.5,2.25,1.57,+86
11,Lazio (Thunder),Fiorentina (Wizard),1.55,4.50,4.60,1.16,1.16,2.30,-1.5,2.55,+1.5,1.45,3.5,1.65,2.10,
12,Roma (Conqueror),Torino (Tekashi),,,,,,,-3.5,2.00,+3.5,1.72,4.5,1.53,2.35,
13,Sampdoria (Zayn),Genoa (Leo),,,1.07,6.70,,,+2.5,2.00,-2.5,1.72,7.5,1.93,1.77,
14,AS ROMA (DIMQAA),Porto (Specialist),1.40,4.30,7.60,1.05,1.18,2.75,-1.5,2.45,+1.5,1.48,2.5,1.72,2.00,
